entity_id,brand_key,brand,product_key,product,variant,gtin,heat_shu,heat_basis,us_availability,evidence_url,price,price_currency,buy_url,in_stock,store_domain,first_observed_at,last_observed_at,names_version,matcher_version,prompt_version,sources,source_count,tiers,hotones_seasons,duplicate_candidate,duplicate_candidate_count,duplicate_of_candidates,corroboration,review_count,review_outlets,review_stance_mix,rules_version
sauce:texas-creek|pure-evil-9-6-million-shu,texas-creek,Texas Creek,pure-evil-9-6-million-shu,Pure Evil 9.6 million SHU,,,,,retail_listing,https://heathotsauce.com/products/pure-evil-9-6-million-shu,79.99,USD,https://heathotsauce.com/products/pure-evil-9-6-million-shu,True,heathotsauce.com,2026-09-19T13:52:25.427841Z,2026-09-19T14:01:06.545048Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,shopify,1,2_longtail,,True,1,sauce:texas-creek|pure-evil-1-5-million-shu,single_source:shopify,0,,,v1
sauce:texas-jack|mild-serrano-salsa,texas-jack,Texas Jack,mild-serrano-salsa,Mild Serrano Salsa,,00670541415375,,,retail_listing,http://world-en.openfoodfacts.org/product/0670541415375/mild-serrano-salsa-texas-jack,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:texas-original|jalapeno,texas-original,Texas Original,jalapeno,Jalapeno Hot Sauce,,00079426444415,,,retail_listing,http://world-en.openfoodfacts.org/product/0079426444415/jalapeno-hot-sauce-texas-original,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,16,sauce:ahold|jalapeno|sauce:cien-chiles|jalapeno|sauce:el-pollo-loco|jalapeno|sauce:finest|jalapeno|sauce:freaky-ferments-food-beverage|jalapeno,single_source:off,0,,,v1
sauce:texas-pete|hot-sauce-ounce,texas-pete,Texas Pete,hot-sauce-ounce,Hot sauce ounce,,00075500100048,,,retail_listing,http://world-en.openfoodfacts.org/product/0075500100048/hot-sauce-ounce-texas-pete,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:texas-pete|wing-sauce-medium,texas-pete,Texas Pete,wing-sauce-medium,"wing sauce, medium",,00075500041020,,,retail_listing,http://world-en.openfoodfacts.org/product/0075500041020/texas-pete-wing-sauce-medium,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:texas-pete|mild-buffalo,texas-pete,Texas Pete,mild-buffalo,Mild Buffalo Sauce,,00075500100215,,,retail_listing,http://world-en.openfoodfacts.org/product/0075500100215/mild-buffalo-sauce-texas-pete,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,1,sauce:noble-made|mild-buffalo,single_source:off,0,,,v1
sauce:texas-pete|hot-chile,texas-pete,Texas Pete,hot-chile,hot chile sauce,,00075500005206,,,retail_listing,http://world-en.openfoodfacts.org/product/0075500005206/hot-chile-sauce-texas-pete,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,1,sauce:texaspete|hot-chile,single_source:off,0,,,v1
sauce:texas-pete|pepper,texas-pete,Texas Pete,pepper,Pepper Sauce,,00075500000072,,,retail_listing,http://world-en.openfoodfacts.org/product/0075500000072/pepper-sauce-texas-pete,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,10,sauce:a-1|pepper|sauce:a-b-american-style|pepper|sauce:bruce|pepper|sauce:kenyan-cafe|pepper|sauce:knorr|pepper,single_source:off,0,,,v1
sauce:texas-pete|hot,texas-pete,Texas Pete,hot,Hot Sauce,,00075500200014,,,retail_listing,http://world-en.openfoodfacts.org/product/0075500200014/hot-sauce-texas-pete,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,124,sauce:a-m-braswell-jr|hot|sauce:ala-orden|hot|sauce:always-save|hot|sauce:antonio-sanchez-salazar|hot|sauce:best-choice|hot,single_source:off,0,,,v1
sauce:texas-pete|original,texas-pete,Texas Pete,original,Original Hot Sauce,,00075500000027,,,retail_listing,http://world-en.openfoodfacts.org/product/0075500000027/original-hot-sauce-texas-pete,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,23,sauce:82-s|original|sauce:bombanana|original|sauce:bruce|original|sauce:buldak|original|sauce:char-man|original,single_source:off,0,,,v1
