term,category
altra,off_corpus
altri,off_corpus
alu,off_corpus
alum,off_corpus
aluminio,off_corpus
aluminium,off_corpus
aluminosilicate,off_corpus
aluminum,off_corpus
alune,off_corpus
always,off_corpus
amande,off_corpus
amandel,off_corpus
amandelen,off_corpus
amandes,off_corpus
amaranth,off_corpus
amaranto,off_corpus
amarilla,off_corpus
amarillo,off_corpus
ambalaj,off_corpus
ambiante,off_corpus
ambiente,off_corpus
amelyb,off_corpus
amendoim,off_corpus
amendoins,off_corpus
america,off_corpus
american,off_corpus
amestec,off_corpus
amid,off_corpus
amido,off_corpus
amidon,off_corpus
amidons,off_corpus
amin,off_corpus
amino,off_corpus
aminos,off_corpus
amla,off_corpus
ammonia,off_corpus
ammoniacal,off_corpus
ammonio,off_corpus
ammonium,off_corpus
ammoniumcarbonate,off_corpus
ammoniumcarbonaten,off_corpus
ammoniumhydrogencarbonat,off_corpus
ammonsulfit-zuckerkul,off_corpus
amonio,off_corpus
amoniu,off_corpus
amonu,off_corpus
amount,off_corpus
amounts,off_corpus
amylase,off_corpus
amylases,off_corpus
ana,off_corpus
anacardi,off_corpus
anacardos,off_corpus
analyse,off_corpus
anan,off_corpus
ananas,off_corpus
ananassaft,off_corpus
ananassaftkonzentrat,off_corpus
anbau,off_corpus
anchoa,off_corpus
anchois,off_corpus
anchovies,off_corpus
ancient,off_corpus
andere,off_corpus
anderen,off_corpus
andre,off_corpus
aneth,off_corpus
angus,off_corpus
anhidra,off_corpus
anhydre,off_corpus
anhydride,off_corpus
anhydrous,off_corpus
anidride,off_corpus
anidro,off_corpus
animal,off_corpus
animale,off_corpus
anis,off_corpus
anise,off_corpus
aniseed,off_corpus
annato,off_corpus
annuus,off_corpus
ano,off_corpus
ans,off_corpus
ant,off_corpus
ante,off_corpus
antes,off_corpus
anthocyane,off_corpus
anthocyanes,off_corpus
anthocyanin,off_corpus
anthocyanins,off_corpus
anti,off_corpus
anti-agglom,off_corpus
anti-caking,off_corpus
anti-foaming,off_corpus
anti-oxidant,off_corpus
anti-oxydant,off_corpus
antiagglom,off_corpus
antiaglomerante,off_corpus
antiaglutinante,off_corpus
antibiotics,off_corpus
antibiotique,off_corpus
anticake,off_corpus
anticaking,off_corpus
antiklontermiddel,off_corpus
antioksidan,off_corpus
antioksidans,off_corpus
antioksidant,off_corpus
antiossidante,off_corpus
antiossidanti,off_corpus
antioxid,off_corpus
antioxidant,off_corpus
antioxidante,off_corpus
antioxidanten,off_corpus
antioxidantes,off_corpus
antioxidants,off_corpus
antioxidations,off_corpus
antioxidationsmedel,off_corpus
antioxidationsmittel,off_corpus
antioxydant,off_corpus
antioxydants,off_corpus
antioxyg,off_corpus
antocianinas,off_corpus
ants,off_corpus
any,off_corpus
anyag,off_corpus
anyagok,off_corpus
aoc,off_corpus
aop,off_corpus
apa,off_corpus
aperto,off_corpus
apfel,off_corpus
apfelessig,off_corpus
apfelmark,off_corpus
apfelp,off_corpus
apfels,off_corpus
apfelsaft,off_corpus
apfelsaftkonzentrat,off_corpus
apfelst,off_corpus
apio,off_corpus
apo-carotenal,off_corpus
apocarotenal,off_corpus
appel,off_corpus
appellation,off_corpus
appelsap,off_corpus
appelzuur,off_corpus
apples,off_corpus
applewood,off_corpus
appliances,off_corpus
apport,off_corpus
approved,off_corpus
approx,off_corpus
apr,off_corpus
apricots,off_corpus
aprikosen,off_corpus
aprikosenkerne,off_corpus
aprox,off_corpus
aqua,off_corpus
ara,off_corpus
arabic,off_corpus
arabica,off_corpus
arabicum,off_corpus
arabique,off_corpus
arabische,off_corpus
arachide,off_corpus
arachides,off_corpus
arachidi,off_corpus
arachidowe,off_corpus
arahide,off_corpus
arancia,off_corpus
arate,off_corpus
arborio,off_corpus
arc-en-ciel,off_corpus
ardei,off_corpus
are,off_corpus
area,off_corpus
argentina,off_corpus
argentine,off_corpus
argopecten,off_corpus
arine,off_corpus
armagnac,off_corpus
aro,off_corpus
arom,off_corpus
aroma,off_corpus
aroma's,off_corpus
aromaer,off_corpus
aromas,off_corpus
aromat,off_corpus
aromata,off_corpus
aromate,off_corpus
aromates,off_corpus
aromatic,off_corpus
aromatiche,off_corpus
aromatique,off_corpus
aromatiques,off_corpus
aromatis,off_corpus
aromatisante,off_corpus
aromatisantes,off_corpus
aromatiz,off_corpus
aromatizante,off_corpus
aromatizantes,off_corpus
aromaty,off_corpus
arome,off_corpus
aromen,off_corpus
aromer,off_corpus
aromes,off_corpus
aromi,off_corpus
aromit,off_corpus
aronia,off_corpus
